COD,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% HB,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral,F.A.,%F.A.,Rotavirus 2da Dosis,Neumococo 3ra Dosis   1er. Año,Neumococo 2da Dosis     (12-23 meses),Neumococo Dosis Unica (24-35 meses),TOTALES,,,
05001,ANTIOQUIA,Medellín," 28,948   ",28650,99.0,28630,98.9,27349,94.5,28630,98.9,28630,98.9," 29,096 ",32418,111.4,32499,111.7,19621,4682,2464,2041," 235,614 ",,,
05002,ANTIOQUIA,Abejorral, 364   ,300,82.4,300,82.4,230,63.2,300,82.4,300,82.4, 361 ,360,99.7,356,98.6,246,12,8,2," 2,414 ",,,
05004,ANTIOQUIA,Abriaquí, 40   ,28,70.0,38,95.0,21,52.5,38,95.0,38,95.0, 41 ,34,82.9,35,85.4,28,2,0,0, 262 ,,,
05021,ANTIOQUIA,Alejandría, 51   ,53,103.9,53,103.9,30,58.8,53,103.9,53,103.9, 51 ,62,121.6,63,123.5,44,2,0,0, 413 ,,,
05030,ANTIOQUIA,Amagá, 558   ,380,68.1,379,67.9,350,62.7,379,67.9,379,67.9, 560 ,538,96.1,510,91.1,343,33,2,1," 3,294 ",,,
05031,ANTIOQUIA,Amalfi, 480   ,413,86.0,414,86.3,268,55.8,413,86.0,416,86.7, 476 ,468,98.3,450,94.5,283,30,35,0," 3,190 ",,,
05034,ANTIOQUIA,Andes, 862   ,596,69.1,593,68.8,610,70.8,594,68.9,594,68.9, 857 ,715,83.4,730,85.2,547,42,9,1," 5,031 ",,,
05036,ANTIOQUIA,Angelópolis, 129   ,92,71.3,92,71.3,73,56.6,92,71.3,92,71.3, 131 ,120,91.6,110,84.0,56,4,1,0, 732 ,,,
05038,ANTIOQUIA,Angostura, 294   ,189,64.3,190,64.6,158,53.7,190,64.6,190,64.6, 288 ,265,92.0,249,86.5,167,11,12,0," 1,621 ",,,
05040,ANTIOQUIA,Anorí, 325   ,326,100.3,331,101.8,258,79.4,330,101.5,330,101.5, 324 ,343,105.9,371,114.5,208,8,1,0," 2,506 ",,,
05042,ANTIOQUIA,Santafé de Antioquia, 499   ,341,68.3,340,68.1,583,116.8,340,68.1,340,68.1, 499 ,450,90.2,442,88.6,233,18,2,0," 3,089 ",,,
05044,ANTIOQUIA,Anzá, 164   ,132,80.5,132,80.5,121,73.8,131,79.9,131,79.9, 162 ,112,69.1,129,79.6,112,2,0,0," 1,002 ",,,
05045,ANTIOQUIA,Apartadó," 3,866   ",2891,74.8,2618,67.7,2959,76.5,2569,66.5,2618,67.7," 3,806 ",3100,81.5,3210,84.3,1355,47,31,4," 21,402 ",,,
05051,ANTIOQUIA,Arboletes, 885   ,537,60.7,545,61.6,401,45.3,545,61.6,544,61.5, 876 ,672,76.7,771,88.0,348,4,7,0," 4,374 ",,,
05055,ANTIOQUIA,Argelia, 236   ,181,76.7,184,78.0,167,70.8,184,78.0,184,78.0, 234 ,189,80.8,219,93.6,134,4,26,1," 1,473 ",,,
05059,ANTIOQUIA,Armenia, 93   ,71,76.3,74,79.6,62,66.7,74,79.6,74,79.6, 93 ,64,68.8,72,77.4,55,4,4,0, 554 ,,,
05079,ANTIOQUIA,Barbosa, 904   ,548,60.6,549,60.7,385,42.6,549,60.7,549,60.7, 903 ,622,68.9,617,68.3,492,33,19,2," 4,365 ",,,
05086,ANTIOQUIA,Belmira, 143   ,83,58.0,95,66.4,69,48.3,95,66.4,95,66.4, 142 ,115,81.0,115,81.0,62,10,0,0, 739 ,,,
05088,ANTIOQUIA,Bello," 6,957   ",5350,76.9,5550,79.8,5009,72.0,5520,79.3,5550,79.8," 7,012 ",5660,80.7,5731,81.7,4001,189,45,5," 42,610 ",,,
05091,ANTIOQUIA,Betania, 204   ,170,83.3,184,90.2,152,74.5,184,90.2,182,89.2, 204 ,171,83.8,173,84.8,124,6,3,1," 1,350 ",,,
05093,ANTIOQUIA,Betulia, 375   ,289,77.1,292,77.9,271,72.3,292,77.9,292,77.9, 372 ,293,78.8,295,79.3,200,6,11,1," 2,242 ",,,
05101,ANTIOQUIA,Ciudad Bolívar, 569   ,461,81.0,462,81.2,500,87.9,462,81.2,462,81.2, 568 ,501,88.2,489,86.1,332,16,3,0," 3,688 ",,,
05107,ANTIOQUIA,Briceño, 188   ,176,93.6,177,94.1,163,86.7,176,93.6,176,93.6, 188 ,183,97.3,198,105.3,139,3,14,3," 1,408 ",,,
05113,ANTIOQUIA,Buriticá, 150   ,141,94.0,141,94.0,132,88.0,141,94.0,141,94.0, 149 ,144,96.6,147,98.7,113,2,0,0," 1,102 ",,,
05120,ANTIOQUIA,Cáceres, 961   ,885,92.1,895,93.1,690,71.8,895,93.1,895,93.1, 937 ,852,90.9,878,93.7,472,5,1,0," 6,468 ",,,
05125,ANTIOQUIA,Caicedo, 202   ,128,63.4,129,63.9,102,50.5,129,63.9,129,63.9, 197 ,160,81.2,173,87.8,112,16,16,0," 1,094 ",,,
05129,ANTIOQUIA,Caldas," 1,115   ",950,85.2,930,83.4,972,87.2,930,83.4,930,83.4," 1,125 ",931,82.8,914,81.2,785,131,38,1," 7,512 ",,,
05134,ANTIOQUIA,Campamento, 194   ,161,83.0,160,82.5,130,67.0,162,83.5,160,82.5, 194 ,162,83.5,170,87.6,121,0,0,0," 1,226 ",,,
05138,ANTIOQUIA,Cañasgordas, 379   ,207,54.6,210,55.4,197,52.0,210,55.4,210,55.4, 373 ,225,60.3,245,65.7,167,6,15,0," 1,692 ",,,
05142,ANTIOQUIA,Caracolí, 94   ,73,77.7,72,76.6,68,72.3,72,76.6,72,76.6, 94 ,80,85.1,80,85.1,66,2,2,0, 587 ,,,
05145,ANTIOQUIA,Caramanta, 100   ,56,56.0,56,56.0,51,51.0,56,56.0,56,56.0, 103 ,68,66.0,68,66.0,55,1,1,1, 469 ,,,
05147,ANTIOQUIA,Carepa," 1,241   ",758,61.1,759,61.2,946,76.2,758,61.1,758,61.1," 1,221 ",825,67.6,865,70.8,420,22,9,3," 6,123 ",,,
05148,ANTIOQUIA,El Carmen de Viboral, 926   ,523,56.5,525,56.7,467,50.4,525,56.7,525,56.7, 919 ,598,65.1,607,66.1,443,26,5,0," 4,244 ",,,
05150,ANTIOQUIA,Carolina, 68   ,44,64.7,44,64.7,30,44.1,44,64.7,44,64.7, 67 ,43,64.2,42,62.7,37,2,1,0, 331 ,,,
05154,ANTIOQUIA,Caucasia," 2,245   ",1895,84.4,1897,84.5,3204,142.7,1883,83.9,1897,84.5," 2,221 ",2120,95.5,2152,96.9,1151,22,8,26," 16,255 ",,,
05172,ANTIOQUIA,Chigorodó," 1,693   ",1514,89.4,1515,89.5,1608,95.0,1512,89.3,1511,89.2," 1,668 ",1744,104.6,1752,105.0,1000,36,14,0," 12,206 ",,,
05190,ANTIOQUIA,Cisneros, 166   ,130,78.3,132,79.5,119,71.7,132,79.5,132,79.5, 167 ,157,94.0,157,94.0,112,5,1,0," 1,077 ",,,
05197,ANTIOQUIA,Cocorná, 273   ,215,78.8,216,79.1,208,76.2,217,79.5,217,79.5, 271 ,220,81.2,224,82.7,213,3,17,0," 1,750 ",,,
05206,ANTIOQUIA,Concepción, 64   ,59,92.2,59,92.2,46,71.9,59,92.2,59,92.2, 63 ,64,101.6,63,100.0,54,2,1,0, 466 ,,,
05209,ANTIOQUIA,Concordia, 471   ,303,64.3,303,64.3,294,62.4,302,64.1,303,64.3, 468 ,312,66.7,326,69.7,219,7,3,2," 2,374 ",,,
05212,ANTIOQUIA,Copacabana, 890   ,612,68.8,612,68.8,694,78.0,608,68.3,608,68.3, 902 ,685,75.9,690,76.5,503,39,2,0," 5,053 ",,,
05234,ANTIOQUIA,Dabeiba, 628   ,433,68.9,434,69.1,426,67.8,434,69.1,434,69.1, 611 ,538,88.1,607,99.3,275,1,2,26," 3,610 ",,,
05237,ANTIOQUIA,Don Matías, 392   ,337,86.0,337,86.0,380,96.9,337,86.0,337,86.0, 395 ,326,82.5,331,83.8,276,28,3,0," 2,692 ",,,
05240,ANTIOQUIA,Ebéjico, 243   ,134,55.1,138,56.8,111,45.7,138,56.8,138,56.8, 242 ,157,64.9,158,65.3,118,7,1,1," 1,101 ",,,
05250,ANTIOQUIA,El Bagre," 1,169   ",1089,93.2,1114,95.3,1079,92.3,1113,95.2,1181,101.0," 1,157 ",1276,110.3,1387,119.9,342,22,1,0," 8,604 ",,,
05264,ANTIOQUIA,Entrerríos, 180   ,165,91.7,165,91.7,138,76.7,165,91.7,165,91.7, 180 ,149,82.8,164,91.1,122,12,0,0," 1,245 ",,,
05266,ANTIOQUIA,Envigado," 2,780   ",1660,59.7,1690,60.8,2012,72.4,1690,60.8,1690,60.8," 2,816 ",1564,55.5,1514,53.8,1282,465,38,5," 13,610 ",,,
05282,ANTIOQUIA,Fredonia, 392   ,376,95.9,375,95.7,350,89.3,371,94.6,375,95.7, 395 ,408,103.3,408,103.3,190,11,5,0," 2,869 ",,,
05284,ANTIOQUIA,Frontino, 434   ,417,96.1,405,93.3,305,70.3,355,81.8,405,93.3, 429 ,413,96.3,497,115.9,208,0,2,0," 3,007 ",,,
05306,ANTIOQUIA,Giraldo, 82   ,73,89.0,73,89.0,61,74.4,73,89.0,73,89.0, 81 ,66,81.5,67,82.7,57,1,7,0, 551 ,,,
05308,ANTIOQUIA,Girardota, 859   ,499,58.1,506,58.9,430,50.1,485,56.5,506,58.9, 862 ,545,63.2,545,63.2,410,22,9,2," 3,959 ",,,
05310,ANTIOQUIA,Gómez Plata, 220   ,131,59.5,135,61.4,186,84.5,135,61.4,135,61.4, 219 ,126,57.5,128,58.4,107,5,4,0," 1,092 ",,,
05313,ANTIOQUIA,Granada, 184   ,125,67.9,126,68.5,123,66.8,126,68.5,126,68.5, 182 ,161,88.5,160,87.9,94,39,51,0," 1,131 ",,,
05315,ANTIOQUIA,Guadalupe, 111   ,115,103.6,116,104.5,112,100.9,115,103.6,115,103.6, 110 ,116,105.5,116,105.5,79,6,0,0, 890 ,,,
05318,ANTIOQUIA,Guarne, 866   ,484,55.9,485,56.0,459,53.0,485,56.0,485,56.0, 862 ,596,69.1,598,69.4,383,51,5,6," 4,037 ",,,
05321,ANTIOQUIA,Guatapé, 96   ,66,68.8,66,68.8,84,87.5,66,68.8,66,68.8, 96 ,55,57.3,56,58.3,56,3,0,1, 519 ,,,
05347,ANTIOQUIA,Heliconia, 129   ,70,54.3,70,54.3,86,66.7,70,54.3,70,54.3, 128 ,79,61.7,82,64.1,48,7,4,0, 586 ,,,
05353,ANTIOQUIA,Hispania, 85   ,75,88.2,75,88.2,72,84.7,75,88.2,76,89.4, 84 ,85,101.2,86,102.4,55,0,1,0, 600 ,,,
05360,ANTIOQUIA,Itaguí," 4,081   ",3135,76.8,3216,78.8,3219,78.9,3153,77.3,3217,78.8," 4,107 ",3291,80.1,2920,71.1,2231,329,126,46," 24,883 ",,,
05361,ANTIOQUIA,Ituango, 682   ,573,84.0,573,84.0,525,77.0,573,84.0,573,84.0, 659 ,637,96.7,645,97.9,268,11,14,1," 4,393 ",,,
05364,ANTIOQUIA,Jardín, 299   ,203,67.9,203,67.9,193,64.5,203,67.9,203,67.9, 297 ,236,79.5,236,79.5,172,3,0,0," 1,652 ",,,
05368,ANTIOQUIA,Jericó, 227   ,146,64.3,146,64.3,131,57.7,146,64.3,146,64.3, 227 ,156,68.7,156,68.7,120,9,7,1," 1,164 ",,,
05376,ANTIOQUIA,La Ceja, 874   ,631,72.2,725,83.0,828,94.7,645,73.8,725,83.0, 879 ,780,88.7,790,89.9,582,50,30,3," 5,789 ",,,
05380,ANTIOQUIA,La Estrella, 987   ,376,38.1,374,37.9,349,35.4,377,38.2,377,38.2, 991 ,407,41.1,418,42.2,286,53,24,2," 3,043 ",,,
05390,ANTIOQUIA,La Pintada, 129   ,113,87.6,114,88.4,111,86.0,114,88.4,114,88.4, 130 ,141,108.5,142,109.2,113,8,0,0, 970 ,,,
05400,ANTIOQUIA,La Unión, 379   ,285,75.2,294,77.6,249,65.7,294,77.6,294,77.6, 378 ,312,82.5,311,82.3,217,19,13,3," 2,291 ",,,
05411,ANTIOQUIA,Liborina, 155   ,162,104.5,162,104.5,153,98.7,162,104.5,162,104.5, 156 ,156,100.0,159,101.9,104,4,0,0," 1,224 ",,,
05425,ANTIOQUIA,Maceo, 136   ,128,94.1,129,94.9,121,89.0,129,94.9,129,94.9, 135 ,152,112.6,151,111.9,95,7,0,0," 1,041 ",,,
05440,ANTIOQUIA,Marinilla," 1,000   ",632,63.2,631,63.1,608,60.8,630,63.0,631,63.1," 1,003 ",694,69.2,704,70.2,558,45,47,0," 5,180 ",,,
05467,ANTIOQUIA,Montebello, 129   ,82,63.6,83,64.3,76,58.9,82,63.6,82,63.6, 130 ,96,73.8,100,76.9,61,3,1,0, 666 ,,,
05475,ANTIOQUIA,Murindó, 86   ,89,103.5,89,103.5,117,136.0,89,103.5,89,103.5, 84 ,100,119.0,107,127.4,39,0,2,0, 721 ,,,
05480,ANTIOQUIA,Mutatá, 427   ,407,95.3,407,95.3,462,108.2,405,94.8,402,94.1, 419 ,534,127.4,571,136.3,224,0,0,0," 3,412 ",,,
05483,ANTIOQUIA,Nariño, 361   ,164,45.4,179,49.6,156,43.2,179,49.6,179,49.6, 356 ,202,56.7,200,56.2,136,0,7,1," 1,403 ",,,
05490,ANTIOQUIA,Necoclí," 1,389   ",1419,102.2,1436,103.4,1352,97.3,1433,103.2,1433,103.2," 1,366 ",1541,112.8,1619,118.5,673,0,0,0," 10,906 ",,,
05495,ANTIOQUIA,Nechí, 531   ,412,77.6,412,77.6,514,96.8,412,77.6,412,77.6, 525 ,682,129.9,685,130.5,292,3,0,0," 3,824 ",,,
05501,ANTIOQUIA,Olaya, 66   ,46,69.7,46,69.7,51,77.3,46,69.7,46,69.7, 65 ,43,66.2,47,72.3,34,4,0,0, 363 ,,,
05541,ANTIOQUIA,Peñol, 328   ,213,64.9,217,66.2,210,64.0,217,66.2,217,66.2, 328 ,271,82.6,273,83.2,198,34,17,3," 1,870 ",,,
05543,ANTIOQUIA,Peque, 222   ,158,71.2,159,71.6,196,88.3,159,71.6,159,71.6, 220 ,184,83.6,212,96.4,103,4,1,0," 1,335 ",,,
05576,ANTIOQUIA,Pueblorrico, 164   ,122,74.4,122,74.4,103,62.8,122,74.4,122,74.4, 163 ,150,92.0,150,92.0,104,16,14,6," 1,031 ",,,
05579,ANTIOQUIA,Puerto Berrío, 776   ,825,106.3,833,107.3,866,111.6,827,106.6,826,106.4, 781 ,918,117.5,947,121.3,609,25,40,3," 6,719 ",,,
05585,ANTIOQUIA,Puerto Nare, 377   ,272,72.1,274,72.7,205,54.4,274,72.7,274,72.7, 370 ,281,75.9,298,80.5,199,8,1,18," 2,104 ",,,
05591,ANTIOQUIA,Puerto Triunfo, 388   ,308,79.4,316,81.4,360,92.8,316,81.4,316,81.4, 383 ,309,80.7,313,81.7,105,2,1,5," 2,351 ",,,
05604,ANTIOQUIA,Remedios, 532   ,448,84.2,451,84.8,420,78.9,451,84.8,451,84.8, 533 ,537,100.8,550,103.2,318,21,18,0," 3,665 ",,,
05607,ANTIOQUIA,Retiro, 335   ,177,52.8,177,52.8,150,44.8,177,52.8,177,52.8, 334 ,160,47.9,172,51.5,147,4,1,0," 1,342 ",,,
05615,ANTIOQUIA,Rionegro," 1,903   ",1506,79.1,1550,81.5,2140,112.5,1497,78.7,1551,81.5," 1,914 ",1634,85.4,1633,85.3,1358,101,4,0," 12,974 ",,,
05628,ANTIOQUIA,Sabanalarga, 201   ,148,73.6,150,74.6,141,70.1,149,74.1,149,74.1, 196 ,164,83.7,155,79.1,115,0,0,12," 1,183 ",,,
05631,ANTIOQUIA,Sabaneta, 499   ,389,78.0,390,78.2,394,79.0,400,80.2,399,80.0, 507 ,444,87.6,451,89.0,316,61,6,0," 3,250 ",,,
05642,ANTIOQUIA,Salgar, 407   ,285,70.0,288,70.8,276,67.8,284,69.8,285,70.0, 404 ,325,80.4,322,79.7,199,0,14,2," 2,280 ",,,
05647,ANTIOQUIA,San Andrés, 141   ,118,83.7,118,83.7,109,77.3,118,83.7,118,83.7, 142 ,126,88.7,132,93.0,99,2,1,2, 943 ,,,
05649,ANTIOQUIA,San Carlos, 327   ,184,56.3,186,56.9,193,59.0,186,56.9,188,57.5, 325 ,201,61.8,215,66.2,147,10,0,0," 1,510 ",,,
05652,ANTIOQUIA,San Francisco, 124   ,135,108.9,131,105.6,124,100.0,131,105.6,131,105.6, 124 ,113,91.1,115,92.7,109,10,15,4," 1,018 ",,,
05656,ANTIOQUIA,San Jerónimo, 239   ,154,64.4,155,64.9,146,61.1,155,64.9,155,64.9, 239 ,171,71.5,172,72.0,128,6,3,0," 1,245 ",,,
05658,ANTIOQUIA,San José de la Montaña, 80   ,75,93.8,75,93.8,79,98.8,75,93.8,75,93.8, 80 ,72,90.0,76,95.0,56,0,0,3, 586 ,,,
05659,ANTIOQUIA,San Juan de Urabá, 699   ,523,74.8,523,74.8,550,78.7,524,75.0,524,75.0, 683 ,594,87.0,619,90.6,423,0,0,0," 4,280 ",,,
05660,ANTIOQUIA,San Luis, 242   ,221,91.3,225,93.0,199,82.2,225,93.0,225,93.0, 238 ,243,102.1,246,103.4,195,7,11,2," 1,799 ",,,
05664,ANTIOQUIA,San Pedro, 492   ,389,79.1,389,79.1,379,77.0,389,79.1,389,79.1, 492 ,446,90.7,446,90.7,339,55,4,3," 3,228 ",,,
05665,ANTIOQUIA,San Pedro de Urabá, 820   ,794,96.8,794,96.8,780,95.1,794,96.8,794,96.8, 803 ,817,101.7,817,101.7,566,5,36,29," 6,226 ",,,
05667,ANTIOQUIA,San Rafael, 232   ,219,94.4,219,94.4,183,78.9,219,94.4,219,94.4, 227 ,217,95.6,216,95.2,164,0,4,0," 1,660 ",,,
05670,ANTIOQUIA,San Roque, 383   ,368,96.1,368,96.1,325,84.9,368,96.1,368,96.1, 379 ,376,99.2,363,95.8,253,5,2,0," 2,796 ",,,
05674,ANTIOQUIA,San Vicente, 307   ,253,82.4,253,82.4,250,81.4,253,82.4,253,82.4, 311 ,279,89.7,280,90.0,232,30,13,0," 2,096 ",,,
05679,ANTIOQUIA,Santa Bárbara, 433   ,300,69.3,294,67.9,253,58.4,294,67.9,294,67.9, 435 ,315,72.4,318,73.1,259,9,0,1," 2,337 ",,,
05686,ANTIOQUIA,Santa Rosa de Osos, 617   ,597,96.8,598,96.9,600,97.2,596,96.6,598,96.9, 621 ,638,102.7,705,113.5,537,49,9,0," 4,927 ",,,
05690,ANTIOQUIA,Santo Domingo, 225   ,162,72.0,164,72.9,162,72.0,164,72.9,164,72.9, 226 ,160,70.8,145,64.2,158,10,1,3," 1,293 ",,,
05697,ANTIOQUIA,El Santuario, 457   ,516,112.9,516,112.9,451,98.7,516,112.9,516,112.9, 458 ,544,118.8,548,119.7,474,31,6,0," 4,118 ",,,
05736,ANTIOQUIA,Segovia, 840   ,667,79.4,663,78.9,789,93.9,664,79.0,662,78.8, 837 ,702,83.9,712,85.1,459,0,2,0," 5,320 ",,,
05756,ANTIOQUIA,Sonsón, 649   ,641,98.8,581,89.5,580,89.4,560,86.3,581,89.5, 657 ,610,92.8,596,90.7,376,12,3,0," 4,540 ",,,
05761,ANTIOQUIA,Sopetrán, 259   ,171,66.0,172,66.4,170,65.6,172,66.4,172,66.4, 260 ,182,70.0,182,70.0,159,5,1,4," 1,390 ",,,
05789,ANTIOQUIA,Támesis, 249   ,192,77.1,192,77.1,239,96.0,192,77.1,192,77.1, 251 ,207,82.5,212,84.5,155,12,1,0," 1,594 ",,,
05790,ANTIOQUIA,Tarazá," 1,081   ",858,79.4,857,79.3,1008,93.2,857,79.3,857,79.3," 1,054 ",1058,100.4,1112,105.5,564,19,2,0," 7,192 ",,,
05792,ANTIOQUIA,Tarso, 159   ,68,42.8,68,42.8,109,68.6,68,42.8,68,42.8, 158 ,75,47.5,74,46.8,54,0,0,0, 584 ,,,
05809,ANTIOQUIA,Titiribí, 218   ,120,55.0,119,54.6,119,54.6,119,54.6,119,54.6, 220 ,121,55.0,123,55.9,95,2,1,0, 938 ,,,
05819,ANTIOQUIA,Toledo, 157   ,109,69.4,109,69.4,105,66.9,109,69.4,109,69.4, 151 ,130,86.1,146,96.7,78,3,2,0, 900 ,,,
05837,ANTIOQUIA,Turbo," 3,521   ",2549,72.4,2551,72.5,3291,93.5,2545,72.3,2551,72.5," 3,472 ",3328,95.9,3614,104.1,1588,0,40,14," 22,071 ",,,
05842,ANTIOQUIA,Uramita, 182   ,148,81.3,148,81.3,164,90.1,148,81.3,148,81.3, 180 ,153,85.0,160,88.9,126,8,0,0," 1,203 ",,,
05847,ANTIOQUIA,Urrao, 907   ,467,51.5,470,51.8,850,93.7,471,51.9,471,51.9, 899 ,573,63.7,593,66.0,363,18,3,1," 4,280 ",,,
05854,ANTIOQUIA,Valdivia, 502   ,478,95.2,478,95.2,476,94.8,478,95.2,478,95.2, 491 ,465,94.7,475,96.7,285,8,1,0," 3,622 ",,,
05856,ANTIOQUIA,Valparaíso, 123   ,67,54.5,67,54.5,80,65.0,67,54.5,67,54.5, 123 ,64,52.0,65,52.8,66,4,0,0, 547 ,,,
05858,ANTIOQUIA,Vegachí, 249   ,195,78.3,197,79.1,192,77.1,197,79.1,197,79.1, 245 ,212,86.5,219,89.4,146,2,0,70," 1,627 ",,,
05861,ANTIOQUIA,Venecia, 219   ,220,100.5,220,100.5,215,98.2,220,100.5,220,100.5, 219 ,221,100.9,221,100.9,122,5,7,0," 1,671 ",,,
05873,ANTIOQUIA,Vigía del Fuerte, 118   ,145,122.9,145,122.9,157,133.1,145,122.9,145,122.9, 115 ,203,176.5,206,179.1,83,0,1,0," 1,230 ",,,
05885,ANTIOQUIA,Yalí, 200   ,81,40.5,81,40.5,96,48.0,81,40.5,81,40.5, 198 ,114,57.6,114,57.6,75,3,0,0, 726 ,,,
05887,ANTIOQUIA,Yarumal, 930   ,864,92.9,866,93.1,1008,108.4,866,93.1,866,93.1, 932 ,845,90.7,872,93.6,655,14,0,1," 6,857 ",,,
05890,ANTIOQUIA,Yolombó, 427   ,392,91.8,403,94.4,1029,241.0,393,92.0,403,94.4, 427 ,431,100.9,431,100.9,242,10,6,22," 3,762 ",,,
05893,ANTIOQUIA,Yondó, 351   ,385,109.7,387,110.3,346,98.6,385,109.7,384,109.4, 348 ,453,130.2,464,133.3,254,15,11,49," 3,133 ",,,
05895,ANTIOQUIA,Zaragoza, 701   ,605,86.3,614,87.6,692,98.7,615,87.7,615,87.7, 693 ,718,103.6,733,105.8,423,6,0,1," 5,022 ",,,
08001,ATLÁNTICO,BARRANQUILLA," 20,345   ",22737,111.8,23004,113.1,27280,134.1,23004,113.1,23004,113.1," 20,619 ",23368,113.3,21758,105.5,12911,676,164,168," 178,074 ",,,
08078,ATLANTICO,Baranoa," 1,039   ",1058,101.8,1059,101.9,1001,96.3,1059,101.9,1059,101.9," 1,044 ",1043,99.9,1044,100.0,527,14,3,4," 7,871 ",,,
08137,ATLANTICO,Campo de la Cruz, 373   ,366,98.1,365,97.9,357,95.7,365,97.9,365,97.9, 383 ,379,99.0,381,99.5,153,8,0,0," 2,739 ",,,
08141,ATLANTICO,Candelaria, 253   ,267,105.5,267,105.5,243,96.0,267,105.5,267,105.5, 255 ,258,101.2,258,101.2,99,0,0,0," 1,926 ",,,
08296,ATLANTICO,Galapa, 768   ,766,99.7,766,99.7,736,95.8,766,99.7,766,99.7, 777 ,775,99.7,776,99.9,321,0,0,0," 5,672 ",,,
08372,ATLANTICO,Juan de Acosta, 299   ,293,98.0,293,98.0,285,95.3,293,98.0,293,98.0, 301 ,295,98.0,295,98.0,129,17,1,0," 2,194 ",,,
08421,ATLANTICO,Luruaco, 553   ,557,100.7,556,100.5,531,96.0,556,100.5,556,100.5, 549 ,566,103.1,566,103.1,254,0,5,0," 4,147 ",,,
08433,ATLANTICO,Malambo," 2,334   ",2321,99.4,2321,99.4,2247,96.3,2321,99.4,2321,99.4," 2,336 ",2407,103.0,2352,100.7,949,78,25,12," 17,354 ",,,
08436,ATLANTICO,Manatí, 281   ,276,98.2,276,98.2,267,95.0,276,98.2,276,98.2, 279 ,285,102.2,292,104.7,132,5,0,1," 2,086 ",,,
08520,ATLANTICO,Palmar de Varela, 451   ,486,107.8,486,107.8,436,96.7,486,107.8,486,107.8, 455 ,459,100.9,461,101.3,219,19,0,0," 3,538 ",,,
08549,ATLANTICO,Piojó, 113   ,111,98.2,111,98.2,109,96.5,111,98.2,111,98.2, 112 ,110,98.2,109,97.3,19,0,0,0, 791 ,,,
08558,ATLANTICO,Polonuevo, 279   ,290,103.9,290,103.9,268,96.1,290,103.9,290,103.9, 280 ,293,104.6,293,104.6,138,0,2,1," 2,155 ",,,
08560,ATLANTICO,Ponedera, 457   ,459,100.4,459,100.4,439,96.1,459,100.4,459,100.4, 456 ,468,102.6,468,102.6,200,12,1,3," 3,427 ",,,
08573,ATLANTICO,Puerto Colombia, 468   ,496,106.0,496,106.0,463,98.9,496,106.0,496,106.0, 471 ,523,111.0,513,108.9,249,29,1,0," 3,762 ",,,
08606,ATLANTICO,Repelón, 558   ,565,101.3,565,101.3,532,95.3,565,101.3,565,101.3, 551 ,565,102.5,565,102.5,191,3,3,5," 4,124 ",,,
08634,ATLANTICO,Sabanagrande, 530   ,536,101.1,536,101.1,519,97.9,536,101.1,536,101.1, 532 ,534,100.4,534,100.4,204,11,0,0," 3,946 ",,,
08638,ATLANTICO,Sabanalarga," 1,962   ",1912,97.5,1914,97.6,1901,96.9,1914,97.6,1914,97.6," 1,969 ",1925,97.8,1943,98.7,799,39,4,5," 14,270 ",,,
08675,ATLANTICO,Santa Lucía, 254   ,249,98.0,246,96.9,246,96.9,246,96.9,246,96.9, 257 ,245,95.3,245,95.3,65,0,0,1," 1,789 ",,,
08685,ATLANTICO,Santo Tomás, 424   ,419,98.8,418,98.6,411,96.9,418,98.6,418,98.6, 427 ,422,98.8,421,98.6,155,2,0,0," 3,084 ",,,
08758,ATLANTICO,Soledad," 10,366   ",10259,99.0,10261,99.0,10034,96.8,10261,99.0,10261,99.0," 10,455 ",10318,98.7,10282,98.3,3854,192,38,9," 75,769 ",,,
08770,ATLANTICO,Suan, 168   ,165,98.2,165,98.2,160,95.2,165,98.2,165,98.2, 168 ,161,95.8,163,97.0,64,6,3,0," 1,217 ",,,
08832,ATLANTICO,Tubará, 209   ,205,98.1,205,98.1,204,97.6,205,98.1,205,98.1, 209 ,200,95.7,205,98.1,77,1,0,0," 1,507 ",,,
08849,ATLANTICO,Usiacurí, 184   ,179,97.3,179,97.3,175,95.1,179,97.3,179,97.3, 184 ,176,95.7,176,95.7,85,4,0,0," 1,332 ",,,
11001,BOGOTÁ D.C.,Bogotá D.C.," 119,208   ",115265,96.7,115176,96.6,122374,102.7,115185,96.6,115176,96.6," 118,604 ",117039,98.7,124011,104.6,109459,100504,564,771," 1,035,524 ",,,
13001,BOLIVAR,CARTAGENA," 17,143   ",20346,118.7,20590,120.1,23514,137.2,20590,120.1,20590,120.1," 17,254 ",20457,118.6,19635,113.8,9404,1477,1751,175," 158,529 ",,,
13006,BOLÍVAR,Achí, 471   ,517,109.8,539,114.4,307,65.2,539,114.4,539,114.4, 463 ,508,109.7,539,116.4,190,3,0,0," 3,681 ",,,
13030,BOLÍVAR,Altos del Rosario, 303   ,141,46.5,179,59.1,210,69.3,179,59.1,179,59.1, 295 ,243,82.4,168,56.9,38,0,0,0," 1,337 ",,,
13042,BOLÍVAR,Arenal, 448   ,179,40.0,176,39.3,179,40.0,176,39.3,176,39.3, 438 ,196,44.7,200,45.7,51,0,0,0," 1,333 ",,,
