COD,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% HB,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral,F.A.,%F.A.,Rotavirus 2da Dosis,Neumococo 3ra Dosis   1er. Año,Neumococo 2da Dosis     (12-23 meses),Neumococo Dosis Unica (24-35 meses),TOTALES,,,
76400,VALLE,La Unión, 592   ,425,71.8,425,71.8,232,39.2,425,71.8,425,71.8, 583 ,491,84.2,491,84.2,284,6,4,2," 3,210 ",,,
76403,VALLE,La Victoria, 205   ,166,81.0,166,81.0,91,44.4,166,81.0,166,81.0, 205 ,137,66.8,151,73.7,98,3,0,0," 1,144 ",,,
76497,VALLE,Obando, 293   ,245,83.6,244,83.3,117,39.9,244,83.3,244,83.3, 287 ,248,86.4,248,86.4,134,2,3,0," 1,729 ",,,
76520,VALLE,Palmira," 4,264   ",3063,71.8,3233,75.8,3800,89.1,3235,75.9,3233,75.8," 4,244 ",3483,82.1,3292,77.6,1839,132,44,44," 25,398 ",,,
76563,VALLE,Pradera," 1,054   ",811,76.9,812,77.0,391,37.1,812,77.0,812,77.0," 1,040 ",837,80.5,829,79.7,582,64,76,0," 6,026 ",,,
76606,VALLE,Restrepo, 283   ,249,88.0,249,88.0,200,70.7,249,88.0,251,88.7, 280 ,243,86.8,244,87.1,164,8,2,2," 1,861 ",,,
76616,VALLE,Riofrío, 291   ,213,73.2,213,73.2,96,33.0,213,73.2,213,73.2, 285 ,212,74.4,220,77.2,126,2,7,6," 1,521 ",,,
76622,VALLE,Roldanillo, 573   ,518,90.4,518,90.4,829,144.7,518,90.4,518,90.4, 565 ,520,92.0,528,93.5,262,16,48,1," 4,276 ",,,
76670,VALLE,San Pedro, 271   ,211,77.9,211,77.9,100,36.9,211,77.9,211,77.9, 268 ,197,73.5,203,75.7,167,20,15,0," 1,546 ",,,
76736,VALLE,Sevilla, 793   ,561,70.7,571,72.0,485,61.2,571,72.0,571,72.0, 787 ,640,81.3,654,83.1,331,25,54,0," 4,463 ",,,
