ANO,CODIGO DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,TIPO DOSIS,REGION
2010,5001,ANTIOQUIA,Medellín,Población Menor de 1 año,VOP,29254.0,27082,92.57537430778697,1ra Dosis,None
2010,5002,ANTIOQUIA,Abejorral,Población Menor de 1 año,VOP,359.0,261,72.70194986072424,1ra Dosis,None
2010,5004,ANTIOQUIA,Abriaquí,Población Menor de 1 año,VOP,40.0,23,57.49999999999999,1ra Dosis,None
2010,5021,ANTIOQUIA,Alejandría,Población Menor de 1 año,VOP,54.0,50,92.5925925925926,1ra Dosis,None
2010,5030,ANTIOQUIA,Amagá,Población Menor de 1 año,VOP,548.0,343,62.59124087591241,1ra Dosis,None
2010,5031,ANTIOQUIA,Amalfi,Población Menor de 1 año,VOP,486.0,424,87.24279835390946,1ra Dosis,None
2010,5034,ANTIOQUIA,Andes,Población Menor de 1 año,VOP,836.0,494,59.09090909090909,1ra Dosis,None
2010,5036,ANTIOQUIA,Angelópolis,Población Menor de 1 año,VOP,133.0,67,50.37593984962406,1ra Dosis,None
2010,5038,ANTIOQUIA,Angostura,Población Menor de 1 año,VOP,298.0,151,50.671140939597315,1ra Dosis,None
2010,5040,ANTIOQUIA,Anorí,Población Menor de 1 año,VOP,337.0,323,95.84569732937686,1ra Dosis,None
2010,5042,ANTIOQUIA,Santafé de Antioquia,Población Menor de 1 año,VOP,503.0,315,62.62425447316103,1ra Dosis,None
2010,5044,ANTIOQUIA,Anzá,Población Menor de 1 año,VOP,160.0,121,75.625,1ra Dosis,None
2010,5045,ANTIOQUIA,Apartadó,Población Menor de 1 año,VOP,3744.0,2228,59.508547008547005,1ra Dosis,None
2010,5051,ANTIOQUIA,Arboletes,Población Menor de 1 año,VOP,886.0,461,52.03160270880362,1ra Dosis,None
2010,5055,ANTIOQUIA,Argelia,Población Menor de 1 año,VOP,229.0,140,61.135371179039296,1ra Dosis,None
2010,5059,ANTIOQUIA,Armenia,Población Menor de 1 año,VOP,89.0,45,50.56179775280899,1ra Dosis,None
2010,5079,ANTIOQUIA,Barbosa,Población Menor de 1 año,VOP,920.0,532,57.826086956521735,1ra Dosis,None
2010,5086,ANTIOQUIA,Belmira,Población Menor de 1 año,VOP,149.0,89,59.73154362416108,1ra Dosis,None
2010,5088,ANTIOQUIA,Bello,Población Menor de 1 año,VOP,7101.0,4777,67.27221518096043,1ra Dosis,None
2010,5091,ANTIOQUIA,Betania,Población Menor de 1 año,VOP,195.0,164,84.1025641025641,1ra Dosis,None
2010,5093,ANTIOQUIA,Betulia,Población Menor de 1 año,VOP,357.0,299,83.75350140056022,1ra Dosis,None
2010,5101,ANTIOQUIA,Ciudad Bolívar,Población Menor de 1 año,VOP,552.0,473,85.68840579710145,1ra Dosis,None
2010,5107,ANTIOQUIA,Briceño,Población Menor de 1 año,VOP,187.0,176,94.11764705882352,1ra Dosis,None
2010,5113,ANTIOQUIA,Buriticá,Población Menor de 1 año,VOP,148.0,104,70.27027027027027,1ra Dosis,None
2010,5120,ANTIOQUIA,Cáceres,Población Menor de 1 año,VOP,907.0,810,89.30540242557883,1ra Dosis,None
2010,5125,ANTIOQUIA,Caicedo,Población Menor de 1 año,VOP,206.0,117,56.79611650485437,1ra Dosis,None
2010,5129,ANTIOQUIA,Caldas,Población Menor de 1 año,VOP,1142.0,881,77.14535901926445,1ra Dosis,None
2010,5134,ANTIOQUIA,Campamento,Población Menor de 1 año,VOP,200.0,134,67.0,1ra Dosis,None
2010,5138,ANTIOQUIA,Cañasgordas,Población Menor de 1 año,VOP,385.0,191,49.61038961038961,1ra Dosis,None
2010,5142,ANTIOQUIA,Caracolí,Población Menor de 1 año,VOP,96.0,73,76.04166666666666,1ra Dosis,None
2010,5145,ANTIOQUIA,Caramanta,Población Menor de 1 año,VOP,93.0,68,73.11827956989248,1ra Dosis,None
2010,5147,ANTIOQUIA,Carepa,Población Menor de 1 año,VOP,1242.0,932,75.0402576489533,1ra Dosis,None
2010,5148,ANTIOQUIA,El Carmen de Viboral,Población Menor de 1 año,VOP,911.0,498,54.665203073545555,1ra Dosis,None
2010,5150,ANTIOQUIA,Carolina,Población Menor de 1 año,VOP,64.0,48,75.0,1ra Dosis,None
2010,5154,ANTIOQUIA,Caucasia,Población Menor de 1 año,VOP,2275.0,1667,73.27472527472527,1ra Dosis,None
2010,5172,ANTIOQUIA,Chigorodó,Población Menor de 1 año,VOP,1694.0,1335,78.80755608028335,1ra Dosis,None
2010,5190,ANTIOQUIA,Cisneros,Población Menor de 1 año,VOP,164.0,117,71.34146341463415,1ra Dosis,None
2010,5197,ANTIOQUIA,Cocorná,Población Menor de 1 año,VOP,275.0,202,73.45454545454545,1ra Dosis,None
2010,5206,ANTIOQUIA,Concepción,Población Menor de 1 año,VOP,64.0,53,82.8125,1ra Dosis,None
2010,5209,ANTIOQUIA,Concordia,Población Menor de 1 año,VOP,447.0,260,58.16554809843401,1ra Dosis,None
2010,5212,ANTIOQUIA,Copacabana,Población Menor de 1 año,VOP,914.0,544,59.51859956236324,1ra Dosis,None
2010,5234,ANTIOQUIA,Dabeiba,Población Menor de 1 año,VOP,612.0,451,73.69281045751634,1ra Dosis,None
2010,5237,ANTIOQUIA,Don Matías,Población Menor de 1 año,VOP,396.0,244,61.61616161616161,1ra Dosis,None
2010,5240,ANTIOQUIA,Ebéjico,Población Menor de 1 año,VOP,245.0,145,59.183673469387756,1ra Dosis,None
2010,5250,ANTIOQUIA,El Bagre,Población Menor de 1 año,VOP,1133.0,1082,95.49867608120036,1ra Dosis,None
2010,5264,ANTIOQUIA,Entrerríos,Población Menor de 1 año,VOP,177.0,102,57.6271186440678,1ra Dosis,None
2010,5266,ANTIOQUIA,Envigado,Población Menor de 1 año,VOP,2866.0,1376,48.01116538729937,1ra Dosis,None
2010,5282,ANTIOQUIA,Fredonia,Población Menor de 1 año,VOP,387.0,360,93.02325581395348,1ra Dosis,None
2010,5284,ANTIOQUIA,Frontino,Población Menor de 1 año,VOP,422.0,391,92.65402843601895,1ra Dosis,None
2010,5306,ANTIOQUIA,Giraldo,Población Menor de 1 año,VOP,86.0,64,74.4186046511628,1ra Dosis,None
2010,5308,ANTIOQUIA,Girardota,Población Menor de 1 año,VOP,873.0,526,60.25200458190149,1ra Dosis,None
2010,5310,ANTIOQUIA,Gómez Plata,Población Menor de 1 año,VOP,224.0,138,61.60714285714286,1ra Dosis,None
2010,5313,ANTIOQUIA,Granada,Población Menor de 1 año,VOP,186.0,114,61.29032258064516,1ra Dosis,None
2010,5315,ANTIOQUIA,Guadalupe,Población Menor de 1 año,VOP,104.0,93,89.42307692307693,1ra Dosis,None
2010,5318,ANTIOQUIA,Guarne,Población Menor de 1 año,VOP,852.0,449,52.69953051643193,1ra Dosis,None
2010,5321,ANTIOQUIA,Guatapé,Población Menor de 1 año,VOP,96.0,61,63.541666666666664,1ra Dosis,None
2010,5347,ANTIOQUIA,Heliconia,Población Menor de 1 año,VOP,123.0,65,52.84552845528455,1ra Dosis,None
2010,5353,ANTIOQUIA,Hispania,Población Menor de 1 año,VOP,84.0,69,82.14285714285714,1ra Dosis,None
